param,California,Mountain,New_England,Northwest,South_Atlantic,Southwest,West_North_Central,West_South_Central,Mid_Atlantic,East_North_Central,East_South_Central
beta_CDD,0.03,0.028,0.05,0.031,0.018,0.02,0.01,0.011,0.036,0.009,0.01
beta_HDD,0.016,0.012,0.036,0.02,0.023,0.015,0.015,0.014,0.029,0.011,0.011
alpha,-0.328,-0.384,-0.844,-0.562,-0.234,-0.439,-0.273,-0.183,-0.448,-0.208,-0.094
alpha_JAN,0.119,0.045,-0.01,0.054,-0.038,0.228,-0.351,-0.064,-0.2,-0.214,-0.072
alpha_FEB,0.094,0.048,-0.122,0.028,-0.043,0.221,-0.279,-0.026,-0.354,-0.155,-0.046
alpha_MAR,-0.026,-0.086,-0.308,-0.09,-0.097,0.039,-0.268,-0.07,-0.481,-0.192,-0.074
alpha_APR,-0.009,-0.06,-0.159,-0.081,-0.018,0.046,-0.16,-0.02,-0.223,-0.114,-0.002
alpha_MAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_JUN,-0.06,0.015,0.143,0.098,-0.068,-0.079,0.046,-0.056,0.027,0.046,-0.078
alpha_JUL,-0.063,-0.0,0.04,0.224,-0.082,0.001,0.07,-0.057,-0.09,0.059,-0.114
alpha_AUG,0.036,0.104,0.08,0.319,-0.078,0.113,0.134,-0.007,-0.068,0.117,-0.121
alpha_SEP,0.075,0.153,0.144,0.299,-0.066,0.121,0.121,0.051,-0.077,0.117,-0.135
alpha_OCT,0.188,0.093,-0.032,0.21,-0.082,0.202,-0.018,0.072,-0.271,0.01,-0.204
alpha_NOV,0.192,0.094,-0.147,0.213,-0.03,0.264,-0.156,0.047,-0.319,-0.083,-0.077
alpha_DEC,0.243,0.103,-0.102,0.16,-0.053,0.315,-0.31,-0.054,-0.368,-0.197,-0.097
