ba,nercr,transreg,transgrp,st,interconnect,hurdlereg,aggreg
OFS_WA,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Bonneville_Power_Administration,OFS_WA
OFS_OR_N,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,PacifiCorp_West,OFS_OR_N
OFS_OR_S,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,PacifiCorp_West,OFS_OR_S
OFS_CA_NNN,WECC_CA,CAISO,CAISO,CA,western,CAISO,OFS_CA_NNN
OFS_CA_NN,WECC_CA,CAISO,CAISO,CA,western,CAISO,OFS_CA_NN
OFS_CA_N,WECC_CA,CAISO,CAISO,CA,western,CAISO,OFS_CA_N
OFS_CA_S,WECC_CA,CAISO,CAISO,CA,western,CAISO,OFS_CA_S
OFS_TX,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,OFS_TX
OFS_LA,MISO,MISO,MISO_South,LA,eastern,MISO,OFS_LA
OFS_FL_W,SERC_F,FRCC,FRCC,FL,eastern,Seminole_Electric_Coop_Inc,OFS_FL_W
OFS_FL_E,SERC_F,FRCC,FRCC,FL,eastern,Seminole_Electric_Coop_Inc,OFS_FL_E
OFS_SC,SERC_E,SERTP,SERTP,SC,eastern,South_Carolina_Electric_Gas_Co,OFS_SC
OFS_NC_S,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Progress_East,OFS_NC_S
OFS_NC_N,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Progress_East,OFS_NC_N
OFS_VA,PJM,PJM,PJM_East,VA,eastern,PJM,OFS_VA
OFS_NJ,PJM,PJM,PJM_East,NJ,eastern,PJM,OFS_NJ
OFS_NY,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO,OFS_NY
OFS_RI,NPCC_NE,ISONE,ISONE,RI,eastern,ISONE,OFS_RI
OFS_NH,NPCC_NE,ISONE,ISONE,NH,eastern,ISONE,OFS_NH
OFS_ME,NPCC_NE,ISONE,ISONE,ME,eastern,ISONE,OFS_ME
OFS_MS,MISO,MISO,MISO_South,MS,eastern,MISO,OFS_MS
OFS_AL,SERC_SE,SERTP,SERTP,AL,eastern,PowerSouth_Energy_Coop,OFS_AL
OFS_GA,SERC_SE,SERTP,SERTP,GA,eastern,Southern_Co_Services_Inc,OFS_GA
OFS_MD,PJM,PJM,PJM_East,MD,eastern,PJM,OFS_MD
OFS_DE,PJM,PJM,PJM_East,DE,eastern,PJM,OFS_DE
OFS_CT,NPCC_NE,ISONE,ISONE,CT,eastern,ISONE,OFS_CT
OFS_MA,NPCC_NE,ISONE,ISONE,MA,eastern,ISONE,OFS_MA
